time,red,green,blue
0.0,100.0,0.0,0.0
0.033333333333333333,100.0,0.0,0.0
0.066666666666666666,100.0,0.0,0.0
0.10000000000000001,100.0,0.0,0.0
0.13333333333333333,100.0,0.0,0.0
0.16666666666666666,100.0,0.0,0.0
0.20000000000000001,100.0,0.0,0.0
0.23333333333333334,100.0,0.0,0.0
0.26666666666666666,100.0,0.0,0.0
0.29999999999999999,100.0,0.0,0.0
0.33333333333333331,100.0,0.0,0.0
0.36666666666666664,100.0,0.0,0.0
0.40000000000000002,100.0,0.0,0.0
0.43333333333333335,100.0,0.0,0.0
0.46666666666666667,100.0,0.0,0.0
0.5,100.0,0.0,0.0
0.53333333333333333,100.0,0.0,0.0
0.56666666666666665,100.0,0.0,0.0
0.59999999999999998,100.0,0.0,0.0
0.6333333333333333,100.0,0.0,0.0
0.66666666666666663,100.0,0.0,0.0
0.69999999999999996,100.0,0.0,0.0
0.73333333333333328,100.0,0.0,0.0
0.76666666666666661,100.0,0.0,0.0
0.80000000000000004,100.0,0.0,0.0
0.83333333333333337,100.0,0.0,0.0
0.8666666666666667,100.0,0.0,0.0
0.90000000000000002,100.0,0.0,0.0
0.93333333333333335,100.0,0.0,0.0
0.96666666666666667,100.0,0.0,0.0
1.0,100.0,0.0,0.0
1.0333333333333332,100.0,0.0,0.0
1.0666666666666667,100.0,0.0,0.0
1.1000000000000001,100.0,0.0,0.0
1.1333333333333333,100.0,0.0,0.0
1.1666666666666667,100.0,0.0,0.0
1.2,100.0,0.0,0.0
1.2333333333333334,100.0,0.0,0.0
1.2666666666666666,100.0,0.0,0.0
1.3,100.0,0.0,0.0
1.3333333333333333,100.0,0.0,0.0
1.3666666666666667,100.0,0.0,0.0
1.3999999999999999,100.0,0.0,0.0
1.4333333333333333,100.0,0.0,0.0
1.4666666666666666,100.0,0.0,0.0
1.5,100.0,0.0,0.0
1.5333333333333332,100.0,0.0,0.0
1.5666666666666667,100.0,0.0,0.0
1.6000000000000001,100.0,0.0,0.0
1.6333333333333333,100.0,0.0,0.0
1.6666666666666667,100.0,0.0,0.0
1.7,100.0,0.0,0.0
1.7333333333333334,100.0,0.0,0.0
1.7666666666666666,100.0,0.0,0.0
1.8,100.0,0.0,0.0
1.8333333333333333,100.0,0.0,0.0
1.8666666666666667,100.0,0.0,0.0
1.8999999999999999,100.0,0.0,0.0
1.9333333333333333,100.0,0.0,0.0
1.9666666666666666,100.0,0.0,0.0
2.0,100.0,0.0,0.0
2.0333333333333332,100.0,0.0,0.0
2.0666666666666664,100.0,0.0,0.0
2.1000000000000001,100.0,0.0,0.0
2.1333333333333333,100.0,0.0,0.0
2.1666666666666665,100.0,0.0,0.0
2.2000000000000002,100.0,0.0,0.0
2.2333333333333334,100.0,0.0,0.0
2.2666666666666666,100.0,0.0,0.0
2.2999999999999998,100.0,0.0,0.0
2.3333333333333335,100.0,0.0,0.0
2.3666666666666667,100.0,0.0,0.0
2.3999999999999999,100.0,0.0,0.0
2.4333333333333331,100.0,0.0,0.0
2.4666666666666668,100.0,0.0,0.0
2.5,100.0,0.0,0.0
2.5333333333333332,100.0,0.0,0.0
2.5666666666666664,100.0,0.0,0.0
2.6000000000000001,100.0,0.0,0.0
2.6333333333333333,100.0,0.0,0.0
2.6666666666666665,100.0,0.0,0.0
2.7000000000000002,100.0,0.0,0.0
2.7333333333333334,100.0,0.0,0.0
2.7666666666666666,100.0,0.0,0.0
2.7999999999999998,100.0,0.0,0.0
2.8333333333333335,100.0,0.0,0.0
2.8666666666666667,100.0,0.0,0.0
2.8999999999999999,100.0,0.0,0.0
2.9333333333333331,100.0,0.0,0.0
2.9666666666666668,100.0,0.0,0.0
3.0,100.0,0.0,0.0
3.0333333333333332,100.0,0.0,0.0
3.0666666666666664,100.0,0.0,0.0
3.1000000000000001,100.0,0.0,0.0
3.1333333333333333,100.0,0.0,0.0
3.1666666666666665,100.0,0.0,0.0
3.2000000000000002,100.0,0.0,0.0
3.2333333333333334,100.0,0.0,0.0
3.2666666666666666,100.0,0.0,0.0
3.2999999999999998,100.0,0.0,0.0
3.3333333333333335,100.0,0.0,0.0
3.3666666666666667,100.0,0.0,0.0
3.3999999999999999,100.0,0.0,0.0
3.4333333333333331,100.0,0.0,0.0
3.4666666666666668,100.0,0.0,0.0
3.5,100.0,0.0,0.0
3.5333333333333332,100.0,0.0,0.0
3.5666666666666664,100.0,0.0,0.0
3.6000000000000001,100.0,0.0,0.0
3.6333333333333333,100.0,0.0,0.0
3.6666666666666665,100.0,0.0,0.0
3.6999999999999997,100.0,0.0,0.0
3.7333333333333334,100.0,0.0,0.0
3.7666666666666666,100.0,0.0,0.0
3.7999999999999998,100.0,0.0,0.0
3.8333333333333335,100.0,0.0,0.0
3.8666666666666667,100.0,0.0,0.0
3.8999999999999999,100.0,0.0,0.0
3.9333333333333331,100.0,0.0,0.0
3.9666666666666668,100.0,0.0,0.0
4.0,100.0,0.0,0.0
4.0333333333333332,100.0,0.0,0.0
4.0666666666666664,100.0,0.0,0.0
4.0999999999999996,100.0,0.0,0.0
4.1333333333333329,100.0,0.0,0.0
4.166666666666667,100.0,0.0,0.0
4.2000000000000002,100.0,0.0,0.0
4.2333333333333334,100.0,0.0,0.0
4.2666666666666666,100.0,0.0,0.0
4.2999999999999998,100.0,0.0,0.0
4.333333333333333,100.0,0.0,0.0
4.3666666666666663,100.0,0.0,0.0
4.4000000000000004,100.0,0.0,0.0
4.4333333333333336,100.0,0.0,0.0
4.4666666666666668,100.0,0.0,0.0
4.5,100.0,0.0,0.0
4.5333333333333332,100.0,0.0,0.0
4.5666666666666664,100.0,0.0,0.0
4.5999999999999996,100.0,0.0,0.0
4.6333333333333329,100.0,0.0,0.0
4.666666666666667,100.0,0.0,0.0
4.7000000000000002,100.0,0.0,0.0
4.7333333333333334,100.0,0.0,0.0
4.7666666666666666,100.0,0.0,0.0
4.7999999999999998,100.0,0.0,0.0
4.833333333333333,100.0,0.0,0.0
4.8666666666666663,100.0,0.0,0.0
4.9000000000000004,100.0,0.0,0.0
4.9333333333333336,100.0,0.0,0.0
4.9666666666666668,100.0,0.0,0.0
5.0,100.0,0.0,0.0
5.0333333333333332,100.0,0.0,0.0
5.0666666666666664,100.0,0.0,0.0
5.0999999999999996,100.0,0.0,0.0
5.1333333333333329,100.0,0.0,0.0
5.166666666666667,100.0,0.0,0.0
5.2000000000000002,100.0,0.0,0.0
5.2333333333333334,100.0,0.0,0.0
5.2666666666666666,100.0,0.0,0.0
